sentence,label,author,tok_lem_sentence,word_count
I know not what Wagner may have been for others; but no cloud ever darkened our sky.,4,Nietzsche,"['know', 'wagner', 'may', 'others', 'cloud', 'ever', 'darkened', 'sky']",16
"Unqualified honest atheism is not opposed to that ideal, to the extent that it appears to be; it is rather one of the final phases of its evolution, one of its syllogisms and pieces of inherent logic--it is the awe-inspiring catastrophe of a two-thousand-year training in truth, which finally forbids itself the lie of the belief in God.",4,Nietzsche,"['unqualified', 'honest', 'atheism', 'opposed', 'ideal', 'tent', 'appears', 'rather', 'one', 'final', 'phase', 'evolution', 'one', 'syllogism', 'piece', 'inherent', 'logic', 'awe', 'inspiring', 'catastrophe', 'two', 'thousand', 'year', 'training', 'truth', 'finally', 'forbids', 'lie', 'belief', 'god']",57
And what will you say to them?,2,Plato,['say'],6
But all these pleas availed them nothing against the general prejudices.,1,Hume,"['plea', 'availed', 'nothing', 'general', 'prejudice']",10
"And I thought that the word of Phoebus, being divine and full of prophecy, would not fail.",2,Plato,"['thought', 'word', 'phoebus', 'divine', 'full', 'prophecy', 'would', 'fail']",16
"They sent orders to Goring, governor of Portsmouth, to obey no commands but such as he should receive from the parliament.",1,Hume,"['sent', 'order', 'goring', 'governor', 'portsmouth', 'obey', 'command', 'receive', 'parliament']",20
"Like the civil state and the Christian religion, international law may be called a peace institution.",0,Kant,"['like', 'civil', 'state', 'christian', 'religion', 'international', 'law', 'may', 'called', 'peace', 'institution']",15
"And, as a proof of what we have advanced, it may be observed, that whenever a sick person suspects that his physician has been persuaded by his enemies to be guilty of any foul practice to him in his profession, he then rather chooses to apply to books for his cure: and not only this but even physicians themselves when they are ill call in other physicians: and those who teach others the gymnastic exercises, exercise with those of the same profession, as being incapable from self-partiality to form a proper judgment of what concerns themselves.",3,Aristotle,"['proof', 'advanced', 'may', 'observed', 'whenever', 'sick', 'person', 'suspect', 'physician', 'persuaded', 'enemy', 'guilty', 'foul', 'practice', 'profession', 'rather', 'chooses', 'apply', 'book', 'cure', 'even', 'physician', 'ill', 'call', 'physician', 'teach', 'others', 'gymnastic', 'ercises', 'ercise', 'profession', 'incapable', 'self', 'partiality', 'form', 'proper', 'judgment', 'concern']",95
"Phenomenal substance is not an absolute subject; it is merely a permanent sensuous image, and nothing more than an intuition, in which the unconditioned is not to be found.",0,Kant,"['phenomenal', 'substance', 'absolute', 'subject', 'merely', 'permanent', 'sensuous', 'image', 'nothing', 'intuition', 'unconditioned', 'found']",28
"For it is evident that this is the only reason of sterility: for if the woman contributes to the semen and generation, it is evident that both the sexes should be concurrent: for if the man is quick, and the woman slow, in the emission of the semen, this will prevent conception; for which cause they do not produce children by sexual union with each other.",3,Aristotle,"['evident', 'reason', 'sterility', 'woman', 'contributes', 'semen', 'generation', 'evident', 'se', 'e', 'concurrent', 'man', 'quick', 'woman', 'slow', 'emission', 'semen', 'prevent', 'conception', 'cause', 'produce', 'child', 'se', 'ual', 'union']",65
"The interest of a nation requires, that the succession to the crown should be fixed one way or other; but it is the same thing to its interest in what way it be fixed: So that if the relation of blood had not an effect independent of public interest, it would never have been regarded, without a positive law; and it would have been impossible, that so many positive laws of different nations coued ever have concured precisely in the same views and intentions.",1,Hume,"['interest', 'nation', 'requires', 'succession', 'crown', 'fi', 'ed', 'one', 'way', 'thing', 'interest', 'way', 'fi', 'ed', 'relation', 'blood', 'effect', 'independent', 'public', 'interest', 'would', 'never', 'regarded', 'without', 'positive', 'law', 'would', 'impossible', 'many', 'positive', 'law', 'different', 'nation', 'coued', 'ever', 'concured', 'precisely', 'view', 'intention']",83
"London at this time was almost entirely built of wood, and in every respect was certainly a very ugly city.",1,Hume,"['london', 'time', 'almost', 'entirely', 'built', 'wood', 'every', 'respect', 'certainly', 'ugly', 'city']",19
"But if for the moment we disregard the character of the hero which rises to the surface and grows visible--and which at bottom is nothing but the light-picture cast on a dark wall, that is, appearance through and through,--if rather we enter into the myth which projects itself in these bright mirrorings, we shall of a sudden experience a phenomenon which bears a reverse relation to one familiar in optics.",4,Nietzsche,"['moment', 'disregard', 'character', 'hero', 'rise', 'surface', 'grows', 'visible', 'bottom', 'nothing', 'light', 'picture', 'cast', 'dark', 'wall', 'appearance', 'rather', 'enter', 'myth', 'project', 'bright', 'mirrorings', 'shall', 'sudden', 'perience', 'phenomenon', 'bear', 'reverse', 'relation', 'one', 'familiar', 'optic']",69
"It appears from Comines, that discipline was at this time very imperfect among the English; and that their civil wars, though long continued, yet, being always decided by hasty battles, had still left them ignorant of the improvements which the military art was beginning to receive upon the continent.",1,Hume,"['appears', 'comines', 'discipline', 'time', 'imperfect', 'among', 'english', 'civil', 'war', 'though', 'long', 'continued', 'yet', 'always', 'decided', 'hasty', 'battle', 'still', 'left', 'ignorant', 'improvement', 'military', 'art', 'beginning', 'receive', 'upon', 'continent']",48
"And now since we have reverted to the subject of poetry, let this our defence serve to show the reasonableness of our former judgment in sending away out of our State an art having the tendencies which we have described; for reason constrained us.",2,Plato,"['since', 'reverted', 'subject', 'poetry', 'let', 'defence', 'serve', 'show', 'reasonableness', 'former', 'judgment', 'sending', 'away', 'state', 'art', 'tendency', 'described', 'reason', 'constrained', 'u']",43
The duchy of Burgundy was to be given to Charles; the rest of the kingdom to Henry.,1,Hume,"['duchy', 'burgundy', 'given', 'charles', 'rest', 'kingdom', 'henry']",16
Those young hearts have already all become old--and not old even!,4,Nietzsche,"['young', 'heart', 'already', 'become', 'old', 'old', 'even']",10
 The term Anschauung here used means sense-perception.,0,Kant,"['term', 'anschauung', 'used', 'mean', 'sense', 'perception']",7
Polygnotus delineates character well: the style of Zeuxis is devoid of ethical quality.,3,Aristotle,"['polygnotus', 'delineates', 'character', 'well', 'style', 'zeu', 'devoid', 'ethical', 'quality']",12
"After England had concluded peace with all her neighbors, he sought military experience in the Low Countries, the great school of war to all the European nations; and he rose to the command of a company under Lord Goring.",1,Hume,"['england', 'concluded', 'peace', 'neighbor', 'sought', 'military', 'perience', 'low', 'country', 'great', 'school', 'war', 'european', 'nation', 'rose', 'command', 'company', 'lord', 'goring']",38
" When this answer was reported to Elizabeth, she was astonished at the character of that aged pontiff; and having recalled her ambassador, she continued with more determined resolution to pursue those measures which already she had secretly embraced.",1,Hume,"['answer', 'reported', 'elizabeth', 'astonished', 'character', 'aged', 'pontiff', 'recalled', 'ambassador', 'continued', 'determined', 'resolution', 'pursue', 'measure', 'already', 'secretly', 'embraced']",38
"Nor again to those persons whose pleasure arises from the sense of Smell, except incidentally: I mean, we do not say men have no self-control because they take pleasure in the scent of fruit, or flowers, or incense, but rather when they do so in the smells of unguents and sauces: since men destitute of self-control take pleasure herein, because hereby the objects of their lusts are recalled to their imagination : but to take pleasure in such is a mark of the character before named since these are objects of desire to him.",3,Aristotle,"['person', 'whose', 'pleasure', 'arises', 'sense', 'smell', 'cept', 'incidentally', 'mean', 'say', 'men', 'self', 'control', 'take', 'pleasure', 'scent', 'fruit', 'flower', 'incense', 'rather', 'smell', 'unguent', 'sauce', 'since', 'men', 'destitute', 'self', 'control', 'take', 'pleasure', 'herein', 'hereby', 'object', 'lust', 'recalled', 'imagination', 'take', 'pleasure', 'mark', 'character', 'named', 'since', 'object', 'desire']",93
"If hares are taken into Ithaca they will not live, but are seen dead on the sea coast, turned in the direction in which they were brought.",3,Aristotle,"['hare', 'taken', 'ithaca', 'live', 'seen', 'dead', 'sea', 'coast', 'turned', 'direction', 'brought']",26
The pessimistic condemnation of life by Schopenhauer is a moral one.,4,Nietzsche,"['pessimistic', 'condemnation', 'life', 'schopenhauer', 'moral', 'one']",10
And the of woman is in progress?,4,Nietzsche,"['woman', 'progress']",6
"Richard obliged Philip to raise the siege of Verneuil; he took Loches, a small town in Anjou; he made himself master of Beaumont, and some other places of little consequence; and after these trivial exploits, the two kings began already to hold conferences for an accommodation.",1,Hume,"['richard', 'obliged', 'philip', 'raise', 'siege', 'verneuil', 'took', 'loch', 'small', 'town', 'anjou', 'made', 'master', 'beaumont', 'place', 'little', 'consequence', 'trivial', 'ploits', 'two', 'king', 'began', 'already', 'hold', 'conference', 'accommodation']",45
"wars are occasioned by the love of money, and money has to be acquired for the sake and in the service of the body; and by reason of all these impediments we have no time to give to philosophy; and, last and worst of all, even if we are at leisure and betake ourselves to some speculation, the body is always breaking in upon us, causing turmoil and confusion in our enquiries, and so amazing us that we are prevented from seeing the truth.",2,Plato,"['war', 'occasioned', 'love', 'money', 'money', 'acquired', 'sake', 'service', 'body', 'reason', 'impediment', 'time', 'give', 'philosophy', 'last', 'worst', 'even', 'leisure', 'betake', 'speculation', 'body', 'always', 'breaking', 'upon', 'u', 'causing', 'turmoil', 'confusion', 'enquiry', 'amazing', 'u', 'prevented', 'seeing', 'truth']",83
"For they too are in error, like the astronomers; they investigate the numbers of the harmonies which are heard, but they never attain to problems--that is to say, they never reach the natural harmonies of number, or reflect why some numbers are harmonious and others not.",2,Plato,"['error', 'like', 'astronomer', 'investigate', 'number', 'harmony', 'heard', 'never', 'attain', 'problem', 'say', 'never', 'reach', 'natural', 'harmony', 'number', 'reflect', 'number', 'harmonious', 'others']",45
I cannot add any new arguments.,1,Hume,"['add', 'new', 'argument']",5
And let this be the simple form of the law: No man shall have sacred rites in a private house.,2,Plato,"['let', 'simple', 'form', 'law', 'man', 'shall', 'sacred', 'rite', 'private', 'house']",19
"He had been educated in such a violent abhorrence of the mass and other popish rites, which he regarded as impious and idolatrous, that he should participate, he thought, in the sin, if he allowed its commission: and when at last the importunity of Cranmer, Ridley, and Poinet prevailed somewhat over his opposition, he burst into tears; lamenting his sisters obstinacy, and bewailing his own hard fate, that he must suffer her to continue in such an abominable mode of worship.",1,Hume,"['educated', 'violent', 'abhorrence', 'mass', 'popish', 'rite', 'regarded', 'impious', 'idolatrous', 'participate', 'thought', 'sin', 'allowed', 'commission', 'last', 'importunity', 'cranmer', 'ridley', 'poinet', 'prevailed', 'somewhat', 'opposition', 'burst', 'tear', 'lamenting', 'sister', 'obstinacy', 'bewailing', 'hard', 'fate', 'must', 'suffer', 'continue', 'abominable', 'mode', 'worship']",80
"The fish fold themselves together, sometimes a large one with a small one, and approximate the passages, which some call their navel, from which they eject their respective seminal matter, the females their ova, and the males their spermatic fluid.",3,Aristotle,"['fish', 'fold', 'together', 'sometimes', 'large', 'one', 'small', 'one', 'appro', 'imate', 'passage', 'call', 'navel', 'eject', 'respective', 'seminal', 'matter', 'female', 'ovum', 'male', 'spermatic', 'fluid']",39
"For all the parts, when inflamed, imbibe the fluid which is secreted into each place, but not such a fluid, or in so great quantities.",3,Aristotle,"['part', 'inflamed', 'imbibe', 'fluid', 'secreted', 'place', 'fluid', 'great', 'quantity']",24
"Even those who were inclined to the English alliance were displeased to have it imposed on them by force of arms; and the earl of Huntley in particular said, pleasantly, that he disliked not the match, but he hated the manner of wooing.",1,Hume,"['even', 'inclined', 'english', 'alliance', 'displeased', 'imposed', 'force', 'arm', 'earl', 'huntley', 'particular', 'said', 'pleasantly', 'disliked', 'match', 'hated', 'manner', 'wooing']",42
"Part 68 Most of the courts consist of 500 members; and when it is necessary to bring public cases before a jury of 1,000 members, two courts combine for the purpose, the most important cases of all are brought 1,500 jurors, or three courts.",3,Aristotle,"['part', 'court', 'consist', 'member', 'necessary', 'bring', 'public', 'case', 'jury', 'member', 'two', 'court', 'combine', 'purpose', 'important', 'case', 'brought', 'juror', 'three', 'court']",43
"But there, there is nothing subsists that is not of this character, and even more beautiful than these.",2,Plato,"['nothing', 'subsists', 'character', 'even', 'beautiful']",17
"If the virtuous should be very few in number, how then shall we act?",3,Aristotle,"['virtuous', 'number', 'shall', 'act']",13
"Tenderness to their offspring, in all sensible beings, is commonly able alone to counter-balance the strongest motives of self-love, and has no manner of dependance on that affection.",1,Hume,"['tenderness', 'offspring', 'sensible', 'being', 'commonly', 'able', 'alone', 'counter', 'balance', 'strongest', 'motif', 'self', 'love', 'manner', 'dependance', 'affection']",27
" Camden, p. 441, from Cajetanuss Life of Pius Camden, p. 428.",1,Hume,"['camden', 'cajetanuss', 'life', 'pius', 'camden']",11
"Do not speak further, thou convalescent!--so answered his animals, but go out where the world waiteth for thee like a garden.",4,Nietzsche,"['speak', 'thou', 'convalescent', 'answered', 'animal', 'go', 'world', 'waiteth', 'thee', 'like', 'garden']",20
" The young queen was there committed to him; and, being attended by the lords Ereskine and Livingstone, she put to sea, and, after meeting with some tempestuous weather, arrived safely at Brest, whence she was conducted to Paris, and soon after she was betrothed to the dauphin.",1,Hume,"['young', 'queen', 'committed', 'attended', 'lord', 'ereskine', 'livingstone', 'put', 'sea', 'meeting', 'tempestuous', 'weather', 'arrived', 'safely', 'brest', 'whence', 'conducted', 'paris', 'soon', 'betrothed', 'dauphin']",47
" Queen Elizabeth was willing to have allowed Curle and Nau to be produced in the trial, and writes to that purpose to Burleigh and Walsingham, in her letter of the seventh of October, in Forbess collections.",1,Hume,"['queen', 'elizabeth', 'willing', 'allowed', 'curle', 'nau', 'produced', 'trial', 'writes', 'purpose', 'burleigh', 'walsingham', 'letter', 'seventh', 'october', 'forbess', 'collection']",36
"Henry, disquieted by the daily revolts of his mutinous subjects, and dreading still worse effects from their turbulent disposition, had again recourse to papal authority; and engaged the cardinal Anagni, who had succeeded Albano in the legateship, to threaten Philip with laying an interdict on all his dominions.",1,Hume,"['henry', 'disquieted', 'daily', 'revolt', 'mutinous', 'subject', 'dreading', 'still', 'worse', 'effect', 'turbulent', 'disposition', 'recourse', 'papal', 'authority', 'engaged', 'cardinal', 'anagni', 'succeeded', 'albano', 'legateship', 'threaten', 'philip', 'laying', 'interdict', 'dominion']",47
"By taste, after he has exercised and corrected it by manifold examples from art or nature, the artist checks his work; and after many, often toilsome, attempts to content taste he finds the form which satisfies him.",0,Kant,"['taste', 'ercised', 'corrected', 'manifold', 'amples', 'art', 'nature', 'artist', 'check', 'work', 'many', 'often', 'toilsome', 'attempt', 'content', 'taste', 'find', 'form', 'satisfies']",36
"Now, just as the unit which is taken is greater or smaller, the infinite will be greater or smaller; but the infinity, which consists merely in the relation to this given unit, must remain always the same, although the absolute quantity of the whole is not thereby cognized.",0,Kant,"['unit', 'taken', 'greater', 'smaller', 'infinite', 'greater', 'smaller', 'infinity', 'consists', 'merely', 'relation', 'given', 'unit', 'must', 'remain', 'always', 'although', 'absolute', 'quantity', 'whole', 'thereby', 'cognized']",47
"It necessarily follows from what has been said, that some things should be ready at hand and others procured by the legislator; for which reason in founding a city we earnestly wish that there may be plenty of those things which are supposed to be under the dominion of fortune; but for a state to be worthy and great is not only the work of fortune but of knowledge and judgment also.",3,Aristotle,"['necessarily', 'follows', 'said', 'thing', 'ready', 'hand', 'others', 'procured', 'legislator', 'reason', 'founding', 'city', 'earnestly', 'wish', 'may', 'plenty', 'thing', 'supposed', 'dominion', 'fortune', 'state', 'worthy', 'great', 'work', 'fortune', 'knowledge', 'judgment', 'also']",71
"Henry himself, that empty shadow of a king, was again taken prisoner; and as the innocence and simplicity of his manners, which bore the appearance of sanctity, had procured him the tender regard of the people, the earl of Warwick and the other leaders took care to distinguish themselves by their respectful demeanor towards him.",1,Hume,"['henry', 'empty', 'shadow', 'king', 'taken', 'prisoner', 'innocence', 'simplicity', 'manner', 'bore', 'appearance', 'sanctity', 'procured', 'tender', 'regard', 'people', 'earl', 'warwick', 'leader', 'took', 'care', 'distinguish', 'respectful', 'demeanor', 'towards']",54
"Upon this Socrates, having leaned his head forward and listened, said, You have reminded me in a manly way; you do not, however, perceive the difference between what is now and what was then asserted.",2,Plato,"['upon', 'socrates', 'leaned', 'head', 'forward', 'listened', 'said', 'reminded', 'manly', 'way', 'however', 'perceive', 'difference', 'asserted']",34
"Vane and Lilburn, whose credit with the republicans and levellers he dreaded, were indeed for some time confined to prison: Cony, who refused to pay illegal taxes, was obliged by menaces to depart from his obstinacy: high courts of justice were erected to try those who had engaged in conspiracies and insurrections against the protectors authority, and whom he could not safely commit to the verdict of juries.",1,Hume,"['vane', 'lilburn', 'whose', 'credit', 'republican', 'leveller', 'dreaded', 'indeed', 'time', 'confined', 'prison', 'cony', 'refused', 'pay', 'illegal', 'ta', 'e', 'obliged', 'menace', 'depart', 'obstinacy', 'high', 'court', 'justice', 'erected', 'try', 'engaged', 'conspiracy', 'insurrection', 'protector', 'authority', 'could', 'safely', 'commit', 'verdict', 'jury']",67
"We commonly consider ourselves as we appear in the eyes of others, and sympathize with the advantageous sentiments they entertain with regard to us.",1,Hume,"['commonly', 'consider', 'appear', 'eye', 'others', 'sympathize', 'advantageous', 'sentiment', 'entertain', 'regard', 'u']",23
"The highest rationalism is a state of cool clearness, which is very far from being able to bring about that feeling of power which every kind of exaltation involves....",4,Nietzsche,"['highest', 'rationalism', 'state', 'cool', 'clearness', 'far', 'able', 'bring', 'feeling', 'power', 'every', 'kind', 'altation', 'involves']",28
How perception attains this addition may be seen by referring in the Critique itself to the section on the Transcendental faculty of Judgment.,0,Kant,"['perception', 'attains', 'addition', 'may', 'seen', 'referring', 'critique', 'section', 'transcendental', 'faculty', 'judgment']",22
" This act of power was complained of as an infringement of the Great Charter: yet the justiciary, in a parliament summoned at Oxford, made no scruple to grant in the kings name a renewal and confirmation of that charter.",1,Hume,"['act', 'power', 'complained', 'infringement', 'great', 'charter', 'yet', 'justiciary', 'parliament', 'summoned', 'ford', 'made', 'scruple', 'grant', 'king', 'name', 'renewal', 'confirmation', 'charter']",39
"In Syria there are animals called hemioni which are different from those derived from a mixture of the horse and ass, though they resemble them in appearance.",3,Aristotle,"['syria', 'animal', 'called', 'hemioni', 'different', 'derived', 'mi', 'ture', 'horse', 'as', 'though', 'resemble', 'appearance']",26
"Present possession has considerable authority in these cases, and greater than in private property, because of the disorders which attend all revolutions and changes of government. We shall only observe, before we conclude, that though an appeal to general opinion may justly, in the speculative sciences of metaphysics, natural philosophy, or astronomy, be esteemed unfair and inconclusive, yet in all questions with regard to morals, as well as criticism, there is really no standard by which any controversy can ever be decided.",1,Hume,"['present', 'possession', 'considerable', 'authority', 'case', 'greater', 'private', 'property', 'disorder', 'attend', 'revolution', 'change', 'government', 'shall', 'observe', 'conclude', 'though', 'appeal', 'general', 'opinion', 'may', 'justly', 'speculative', 'science', 'metaphysics', 'natural', 'philosophy', 'astronomy', 'esteemed', 'unfair', 'inconclusive', 'yet', 'question', 'regard', 'moral', 'well', 'criticism', 'really', 'standard', 'controversy', 'ever', 'decided']",81
"Then when we say that the others are other than the one, and the one other than the others, in repeating the word other we speak of that nature to which the name is applied, and of no other?",2,Plato,"['say', 'others', 'one', 'one', 'others', 'repeating', 'word', 'speak', 'nature', 'name', 'applied']",38
"The whole of psychology is a psychology of obstacles, a sort of barricade built out of fear; on the one hand we find the masses defending themselves, by means of it, against the strong; on the other hand, we find all the instincts with which these classes are best able to prosper, sanctified and alone held in honour by them.",4,Nietzsche,"['whole', 'psychology', 'psychology', 'obstacle', 'sort', 'barricade', 'built', 'fear', 'one', 'hand', 'find', 'mass', 'defending', 'mean', 'strong', 'hand', 'find', 'instinct', 'class', 'best', 'able', 'prosper', 'sanctified', 'alone', 'held', 'honour']",59
Some of the clergy protested.,1,Hume,"['clergy', 'protested']",4
What does the mysterious triad of these deeds of destiny tell us?,4,Nietzsche,"['mysterious', 'triad', 'deed', 'destiny', 'tell', 'u']",11
"These are the different species of tyrannies, their principles, and their causes.",3,Aristotle,"['different', 'specie', 'tyranny', 'principle', 'cause']",11
But this need not be so.,0,Kant,['need'],5
"But when the riches are dispersed among multitudes, the burden feels light on every shoulder, and the taxes make not a very sensible difference on any ones way of living.",1,Hume,"['rich', 'dispersed', 'among', 'multitude', 'burden', 'feel', 'light', 'every', 'shoulder', 'ta', 'e', 'make', 'sensible', 'difference', 'one', 'way', 'living']",29
": There are shade and gentle breezes, and grass on which we may either sit or lie down.",2,Plato,"['shade', 'gentle', 'breeze', 'grass', 'may', 'either', 'sit', 'lie']",17
"I am not equal to it, said Agathon.",2,Plato,"['equal', 'said', 'agathon']",7
"Such is the entire liberty which gods and men have allowed the lover, according to the custom which prevails in our part of the world.",2,Plato,"['entire', 'liberty', 'god', 'men', 'allowed', 'lover', 'according', 'custom', 'prevails', 'part', 'world']",24
"Will not the desire of eating, that is, of simple food and condiments, in so far as they are required for health and strength, be of the necessary class?",2,Plato,"['desire', 'eating', 'simple', 'food', 'condiment', 'far', 'required', 'health', 'strength', 'necessary', 'class']",28
"But when a man is well, my dear Polemarchus, there is no need of a physician?",2,Plato,"['man', 'well', 'dear', 'polemarchus', 'need', 'physician']",15
"Philip received their application with pleasure; summoned John to stand a trial before him; and on his non-appearance, passed sentence, with the concurrence of the peers, upon that prince; declared him guilty of felony and parricide; and adjudged him to forfeit to his superior lord all his seigniories and fiefs in France.",1,Hume,"['philip', 'received', 'application', 'pleasure', 'summoned', 'john', 'stand', 'trial', 'non', 'appearance', 'passed', 'sentence', 'concurrence', 'peer', 'upon', 'prince', 'declared', 'guilty', 'felony', 'parricide', 'adjudged', 'forfeit', 'superior', 'lord', 'seigniory', 'fief', 'france']",51
"Straight hair is soft, crisped hair is harsh.",3,Aristotle,"['straight', 'hair', 'soft', 'crisped', 'hair', 'harsh']",7
"The question in relation to a possible experience is not, What can be given in an experience in concreto but what is contained in the idea, to which the empirical synthesis must approximate. The question must therefore be capable of solution from the idea alone.",0,Kant,"['question', 'relation', 'possible', 'perience', 'given', 'perience', 'concreto', 'contained', 'idea', 'empirical', 'synthesis', 'must', 'appro', 'imate', 'question', 'must', 'therefore', 'capable', 'solution', 'idea', 'alone']",44
"The object of reason is, therefore, the understanding and its proper destination.",0,Kant,"['object', 'reason', 'therefore', 'understanding', 'proper', 'destination']",11
And so it is with all conceptions without distinction.,0,Kant,"['conception', 'without', 'distinction']",8
"What is the good of all scientific education, all criticism and all hermeneutics, if such nonsense as the Churchs interpretation of the Bible has not yet turned the colours of our bodies permanently into the red of shame?",4,Nietzsche,"['good', 'scientific', 'education', 'criticism', 'hermeneutics', 'nonsense', 'church', 'interpretation', 'bible', 'yet', 'turned', 'colour', 'body', 'permanently', 'red', 'shame']",37
The Limits of our Sense of Hearing.We hear only the questions to which we are capable of finding an answer.,4,Nietzsche,"['limit', 'sense', 'hearing', 'hear', 'question', 'capable', 'finding', 'answer']",19
"Cromwell, secretary of state, had been appointed vicar-general, or vicegerent, a new office, by which the kings supremacy, or the absolute uncontrollable power assumed over the church, was delegated to him.",1,Hume,"['cromwell', 'secretary', 'state', 'appointed', 'vicar', 'general', 'vicegerent', 'new', 'office', 'king', 'supremacy', 'absolute', 'uncontrollable', 'power', 'assumed', 'church', 'delegated']",30
So much then for these distinctions.,3,Aristotle,"['much', 'distinction']",5
"Not that he at all doubted its legitimacy, like Hume: on the contrary, he began cautiously to define the domain within which this notion has significance generally.",4,Nietzsche,"['doubted', 'legitimacy', 'like', 'hume', 'contrary', 'began', 'cautiously', 'define', 'domain', 'within', 'notion', 'significance', 'generally']",26
"Suppose now that you make a second form as of a lion, and a third of a man, the second smaller than the first, and the third smaller than the second.",2,Plato,"['suppose', 'make', 'second', 'form', 'lion', 'third', 'man', 'second', 'smaller', 'first', 'third', 'smaller', 'second']",30
"And we may observe in general, that if we can find any quality in a person, which renders him incommodious to those, who live and converse with him, we always allow it to be a fault or blemish, without any farther examination.",1,Hume,"['may', 'observe', 'general', 'find', 'quality', 'person', 'render', 'incommodious', 'live', 'converse', 'always', 'allow', 'fault', 'blemish', 'without', 'farther', 'amination']",41
"It savours of antiquity and of old fashion, and thus it is at last beginning to draw refined people and to make them inquisitive--in short, it affects us like a vice.",4,Nietzsche,"['savour', 'antiquity', 'old', 'fashion', 'thus', 'last', 'beginning', 'draw', 'refined', 'people', 'make', 'inquisitive', 'short', 'affect', 'u', 'like', 'vice']",30
"An open war with the Spanish monarchy was the apparent consequence of her accepting the dominion of these provinces; and after taking the inhabitants under her protection, she could never afterwards in honor abandon them, but, however desperate their defence might become, she must embrace it, even further than her convenience or interests would permit.",1,Hume,"['open', 'war', 'spanish', 'monarchy', 'apparent', 'consequence', 'accepting', 'dominion', 'province', 'taking', 'inhabitant', 'protection', 'could', 'never', 'afterwards', 'honor', 'abandon', 'however', 'desperate', 'defence', 'might', 'become', 'must', 'embrace', 'even', 'convenience', 'interest', 'would', 'permit']",54
"The commons were nowise satisfied with this concession They pretended, that no pardon of the crown could be pleaded in bar of an impeachment, by the commons.",1,Hume,"['common', 'nowise', 'satisfied', 'concession', 'pretended', 'pardon', 'crown', 'could', 'pleaded', 'bar', 'impeachment', 'common']",26
" But though the sectaries of this superstition were punished by the justiciary, it received so little encouragement from the established clergy whose property was endangered by such seditious practices, that it suddenly sunk and vanished.",1,Hume,"['though', 'sectary', 'superstition', 'punished', 'justiciary', 'received', 'little', 'encouragement', 'established', 'clergy', 'whose', 'property', 'endangered', 'seditious', 'practice', 'suddenly', 'sunk', 'vanished']",35
"Our attitude to politics is more natural: we see problems of power, of the quantum of power, against another quantum.",4,Nietzsche,"['attitude', 'politics', 'natural', 'see', 'problem', 'power', 'quantum', 'power', 'another', 'quantum']",19
"She then passed into another hall, where was erected the scaffold, covered with black; and she saw, with an undismayed countenance, the executioners and all the preparations of death.",1,Hume,"['passed', 'another', 'hall', 'erected', 'scaffold', 'covered', 'black', 'saw', 'undismayed', 'countenance', 'ecutioners', 'preparation', 'death']",28
"I would not be understood to mean, that public affairs deserve no care and attention at all.",1,Hume,"['would', 'understood', 'mean', 'public', 'affair', 'deserve', 'care', 'attention']",16
"A man reduced to despair by a series of misfortunes feels wearied of life, but is still so far in possession of his reason that he can ask himself whether it would not be contrary to his duty to himself to take his own life.",0,Kant,"['man', 'reduced', 'despair', 'series', 'misfortune', 'feel', 'wearied', 'life', 'still', 'far', 'possession', 'reason', 'ask', 'whether', 'would', 'contrary', 'duty', 'take', 'life']",44
"Accordingly, I have named these principles rather with reference to their application than their content; and I shall now proceed to consider them in the order in which they stand in the table.",0,Kant,"['accordingly', 'named', 'principle', 'rather', 'reference', 'application', 'content', 'shall', 'proceed', 'consider', 'order', 'stand', 'table']",32
"So far from being conscious of this energy in the will, it requires as certain experience as that of which we are possessed, to convince us that such extraordinary effects do ever result from a simple act of volition.",1,Hume,"['far', 'conscious', 'energy', 'requires', 'certain', 'perience', 'possessed', 'convince', 'u', 'traordinary', 'effect', 'ever', 'result', 'simple', 'act', 'volition']",38
"The sudden decline, and almost total fall of the Spanish monarchy, opened an inviting field to so enterprising a prince, and seemed to promise him easy and extensive conquests The other nations of Europe, feeble or ill governed, were astonished at the greatness of his rising empire; and all of them cast their eyes towards England, as the only power which could save them from that subjection with which they seemed to be so nearly threatened.",1,Hume,"['sudden', 'decline', 'almost', 'total', 'fall', 'spanish', 'monarchy', 'opened', 'inviting', 'field', 'enterprising', 'prince', 'seemed', 'promise', 'easy', 'tensive', 'conquest', 'nation', 'europe', 'feeble', 'ill', 'governed', 'astonished', 'greatness', 'rising', 'empire', 'cast', 'eye', 'towards', 'england', 'power', 'could', 'save', 'subjection', 'seemed', 'nearly', 'threatened']",75
"As soon as the season would permit, the Scottish army was assembled under Hamilton and Lesley; and the king was allowed to join the camp.",1,Hume,"['soon', 'season', 'would', 'permit', 'scottish', 'army', 'assembled', 'hamilton', 'lesley', 'king', 'allowed', 'join', 'camp']",24
An object is monstrous if by its size it destroys the purpose which constitutes the concept of it.,0,Kant,"['object', 'monstrous', 'size', 'destroys', 'purpose', 'constitutes', 'concept']",17
: Yes; it certainly is.,2,Plato,"['yes', 'certainly']",4
